index,image_path,number
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/0/q0.jpg,q0.jpg
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/0/q1.jpg,q1.jpg
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/0/q2.jpg,q2.jpg
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/0/q3.jpg,q3.jpg
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/0/q4.jpg,q4.jpg
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/0/q5.jpg,q5.jpg
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/0/q6.jpg,q6.jpg
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/0/q7.jpg,q7.jpg
0,/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/0.jpeg,0.jpeg
0,/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/1.jpeg,1.jpeg
0,/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/2.jpeg,2.jpeg
0,/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/3.jpeg,3.jpeg
0,/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/4.jpeg,4.jpeg
0,/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/5.jpeg,5.jpeg
0,/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/6.jpeg,6.jpeg
0,/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/7.jpeg,7.jpeg
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/1/q0.jpg,q0.jpg
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/1/q1.jpg,q1.jpg
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/1/q2.jpg,q2.jpg
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/1/q3.jpg,q3.jpg
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/1/q4.jpg,q4.jpg
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/1/q5.jpg,q5.jpg
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/1/q6.jpg,q6.jpg
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/1/q7.jpg,q7.jpg
1,/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/0.jpeg,0.jpeg
1,/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/1.jpeg,1.jpeg
1,/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/2.jpeg,2.jpeg
1,/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/3.jpeg,3.jpeg
1,/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/4.jpeg,4.jpeg
1,/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/5.jpeg,5.jpeg
1,/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/6.jpeg,6.jpeg
1,/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/7.jpeg,7.jpeg
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/2/q0.jpg,q0.jpg
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/2/q1.jpg,q1.jpg
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/2/q2.jpg,q2.jpg
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/2/q3.jpg,q3.jpg
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/2/q4.jpg,q4.jpg
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/2/q5.jpg,q5.jpg
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/2/q6.jpg,q6.jpg
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/2/q7.jpg,q7.jpg
2,/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/0.jpeg,0.jpeg
2,/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/1.jpeg,1.jpeg
2,/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/2.jpeg,2.jpeg
2,/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/3.jpeg,3.jpeg
2,/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/4.jpeg,4.jpeg
2,/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/5.jpeg,5.jpeg
2,/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/6.jpeg,6.jpeg
2,/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/7.jpeg,7.jpeg
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/3/q0.jpg,q0.jpg
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/3/q1.jpg,q1.jpg
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/3/q2.jpg,q2.jpg
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/3/q3.jpg,q3.jpg
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/3/q4.jpg,q4.jpg
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/3/q5.jpg,q5.jpg
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/3/q6.jpg,q6.jpg
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/3/q7.jpg,q7.jpg
3,/home/work/yaiq/datasets/vcog-bench/raven/3/choice/image/0.jpeg,0.jpeg
3,/home/work/yaiq/datasets/vcog-bench/raven/3/choice/image/1.jpeg,1.jpeg
3,/home/work/yaiq/datasets/vcog-bench/raven/3/choice/image/2.jpeg,2.jpeg
3,/home/work/yaiq/datasets/vcog-bench/raven/3/choice/image/3.jpeg,3.jpeg
3,/home/work/yaiq/datasets/vcog-bench/raven/3/choice/image/4.jpeg,4.jpeg
3,/home/work/yaiq/datasets/vcog-bench/raven/3/choice/image/5.jpeg,5.jpeg
3,/home/work/yaiq/datasets/vcog-bench/raven/3/choice/image/6.jpeg,6.jpeg
3,/home/work/yaiq/datasets/vcog-bench/raven/3/choice/image/7.jpeg,7.jpeg
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/4/q0.jpg,q0.jpg
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/4/q1.jpg,q1.jpg
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/4/q2.jpg,q2.jpg
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/4/q3.jpg,q3.jpg
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/4/q4.jpg,q4.jpg
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/4/q5.jpg,q5.jpg
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/4/q6.jpg,q6.jpg
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/4/q7.jpg,q7.jpg
4,/home/work/yaiq/datasets/vcog-bench/raven/4/choice/image/0.jpeg,0.jpeg
4,/home/work/yaiq/datasets/vcog-bench/raven/4/choice/image/1.jpeg,1.jpeg
4,/home/work/yaiq/datasets/vcog-bench/raven/4/choice/image/2.jpeg,2.jpeg
4,/home/work/yaiq/datasets/vcog-bench/raven/4/choice/image/3.jpeg,3.jpeg
4,/home/work/yaiq/datasets/vcog-bench/raven/4/choice/image/4.jpeg,4.jpeg
4,/home/work/yaiq/datasets/vcog-bench/raven/4/choice/image/5.jpeg,5.jpeg
4,/home/work/yaiq/datasets/vcog-bench/raven/4/choice/image/6.jpeg,6.jpeg
4,/home/work/yaiq/datasets/vcog-bench/raven/4/choice/image/7.jpeg,7.jpeg
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/5/q0.jpg,q0.jpg
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/5/q1.jpg,q1.jpg
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/5/q2.jpg,q2.jpg
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/5/q3.jpg,q3.jpg
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/5/q4.jpg,q4.jpg
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/5/q5.jpg,q5.jpg
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/5/q6.jpg,q6.jpg
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/5/q7.jpg,q7.jpg
5,/home/work/yaiq/datasets/vcog-bench/raven/5/choice/image/0.jpeg,0.jpeg
5,/home/work/yaiq/datasets/vcog-bench/raven/5/choice/image/1.jpeg,1.jpeg
5,/home/work/yaiq/datasets/vcog-bench/raven/5/choice/image/2.jpeg,2.jpeg
5,/home/work/yaiq/datasets/vcog-bench/raven/5/choice/image/3.jpeg,3.jpeg
5,/home/work/yaiq/datasets/vcog-bench/raven/5/choice/image/4.jpeg,4.jpeg
5,/home/work/yaiq/datasets/vcog-bench/raven/5/choice/image/5.jpeg,5.jpeg
5,/home/work/yaiq/datasets/vcog-bench/raven/5/choice/image/6.jpeg,6.jpeg
5,/home/work/yaiq/datasets/vcog-bench/raven/5/choice/image/7.jpeg,7.jpeg
6,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/6/q0.jpg,q0.jpg
6,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/6/q1.jpg,q1.jpg
6,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/6/q2.jpg,q2.jpg
6,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/6/q3.jpg,q3.jpg
6,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/6/q4.jpg,q4.jpg
6,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/6/q5.jpg,q5.jpg
6,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/6/q6.jpg,q6.jpg
6,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/6/q7.jpg,q7.jpg
6,/home/work/yaiq/datasets/vcog-bench/raven/6/choice/image/0.jpeg,0.jpeg
6,/home/work/yaiq/datasets/vcog-bench/raven/6/choice/image/1.jpeg,1.jpeg
6,/home/work/yaiq/datasets/vcog-bench/raven/6/choice/image/2.jpeg,2.jpeg
6,/home/work/yaiq/datasets/vcog-bench/raven/6/choice/image/3.jpeg,3.jpeg
6,/home/work/yaiq/datasets/vcog-bench/raven/6/choice/image/4.jpeg,4.jpeg
6,/home/work/yaiq/datasets/vcog-bench/raven/6/choice/image/5.jpeg,5.jpeg
6,/home/work/yaiq/datasets/vcog-bench/raven/6/choice/image/6.jpeg,6.jpeg
6,/home/work/yaiq/datasets/vcog-bench/raven/6/choice/image/7.jpeg,7.jpeg
7,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/7/q0.jpg,q0.jpg
7,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/7/q1.jpg,q1.jpg
7,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/7/q2.jpg,q2.jpg
7,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/7/q3.jpg,q3.jpg
7,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/7/q4.jpg,q4.jpg
7,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/7/q5.jpg,q5.jpg
