image_path,label,split
/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/0.jpeg,A large white triangle with a small dark gray square inside towards the upper-left.,test
/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/3.jpeg,A large white triangle with a small dark gray square inside towards the upper-left.,test
/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/1.jpeg,A large white triangle with a small dark gray triangle inside towards the upper-left.,test
/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/2.jpeg,A large white triangle with a small dark gray hexagon inside towards the upper-left.,test
/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/6.jpeg,"A large white triangle with five shapes inside: two small dark gray hexagons at the top, one small dark gray pentagon at the bottom-left, one small light gray pentagon at the bottom-center, and one small light gray square at the bottom-right.",test
/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/7.jpeg,A large white triangle with a medium dark gray circle inside towards the upper-left.,test
/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/5.jpeg,A large white triangle with a small dark gray square inside towards the upper-left.,test
/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/4.jpeg,"A large white triangle with three shapes inside: a small dark gray hexagon at the top-left, a tiny dark gray triangle at the bottom-left, and a medium light gray circle at the right.",test
/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/0.jpeg,"3 objects; squares; dark gray; 2 small, 1 medium; small square at top-right, small square at bottom-left, medium square at center-top.",train
/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/1.jpeg,"3 objects; squares; dark gray; medium; top, left, bottom; top square at center-top, left square at center-left, bottom square at center-bottom.",train
/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/2.jpeg,"3 objects; 2 circles, 1 pentagon; dark gray; medium; top, left, bottom; circles at top-left and top-right, pentagon at center-bottom.",train
/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/3.jpeg,"3 objects; squares; dark gray; small and medium; left, center, down; medium square at top-center, large square at middle-left, small square at bottom-center.",train
/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/5.jpeg,"3 objects; squares; white, black, light gray; medium; top, left, bottom; white square at top-right, black square at center-left, light gray square at center-bottom.",train
/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/4.jpeg,"4 objects; triangle, triangle, pentagon, hexagon; light gray, black, dark gray; small, large, small, medium; top-left, middle, middle-right, bottom-right.",train
/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/6.jpeg,1 object; circle; black; medium; center-bottom.,train
/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/7.jpeg,"3 objects; squares; dark gray; small and medium; left, center, down; small square at top-center, medium square at middle-left, small square at bottom-center.",train
/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/4.jpeg,"2 objects; top dark gray triangle, bottom small gray triangle; medium triangle, tiny triangle; top down relation.",train
/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/0.jpeg,"2 objects; top dark gray hexagon, bottom small gray triangle; large hexagon, tiny triangle; top down relation.",train
/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/2.jpeg,"2 objects; top dark gray triangle, bottom small gray triangle; medium triangle, tiny triangle; top down relation.",train
/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/1.jpeg,"2 objects; top gray triangle, bottom small gray triangle; medium triangle, tiny triangle; top down relation.",train
/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/3.jpeg,"2 objects; top dark gray triangle, bottom gray triangle; medium triangle, medium triangle; top down relation.",train
/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/5.jpeg,"2 objects; top dark gray triangle, bottom small dark gray triangle; medium triangle, tiny triangle; top down relation.",train
